%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1718110623433780402,0.0,0.0,0.0,0.0,0.0,0.0
1718110623483720493,0.0,0.0,0.0,0.0,0.0,0.0
1718110623536709936,0.0,0.0,0.0,0.0,0.0,0.0
1718110623584540668,0.0,0.0,0.0,0.0,0.0,0.0
1718110623633568034,0.0,0.0,0.0,0.0,0.0,0.0
1718110623686816240,0.0,0.0,0.0,0.0,0.0,0.0
1718110623738473577,0.0,0.0,0.0,0.0,0.0,0.0
1718110623782542586,0.0,0.0,0.0,0.0,0.0,0.0
1718110623838279984,0.0,0.0,0.0,0.0,0.0,0.0
1718110623884000578,0.0,0.0,0.0,0.0,0.0,0.0
1718110623935856152,0.0,0.0,0.0,0.0,0.0,0.0
1718110623990687844,0.0,0.0,0.0,0.0,0.0,0.0
1718110624038962030,0.0,0.0,0.0,0.0,0.0,0.0
1718110624087866554,0.0,0.0,0.0,0.0,0.0,0.0
1718110624133733994,0.0,0.0,0.0,0.0,0.0,0.0
1718110624187586312,0.0,0.0,0.0,0.0,0.0,0.0
1718110624236080284,0.0,0.0,0.0,0.0,0.0,0.0
1718110624287303262,0.0,0.0,0.0,0.0,0.0,0.0
1718110624335922394,0.0,0.0,0.0,0.0,0.0,0.0
1718110624382649312,0.0,0.0,0.0,0.0,0.0,0.0
1718110624436897161,0.0,0.0,0.0,0.0,0.0,0.0
1718110624484468477,0.0,0.0,0.0,0.0,0.0,0.0
1718110624536022282,0.0,0.0,0.0,0.0,0.0,0.0
1718110624588207657,0.0,0.0,0.0,0.0,0.0,0.0
1718110624636298489,0.0,0.0,0.0,0.0,0.0,0.0
1718110624686276482,0.0,0.0,0.0,0.0,0.0,0.0
1718110624736698369,0.0,0.0,0.0,0.0,0.0,0.0
1718110624786673870,0.0,0.0,0.0,0.0,0.0,0.0
1718110624832772618,0.0,0.0,0.0,0.0,0.0,0.0
1718110624888052357,0.0,0.0,0.0,0.0,0.0,0.0
1718110624934596435,0.0,0.0,0.0,0.0,0.0,0.0
1718110624985290724,0.0,0.0,0.0,0.0,0.0,0.0
1718110625034086846,0.0,0.0,0.0,0.0,0.0,0.0
1718110625084742193,0.0,0.0,0.0,0.0,0.0,0.0
1718110625136486466,0.0,0.0,0.0,0.0,0.0,0.0
1718110625187733065,0.0,0.0,0.0,0.0,0.0,0.0
1718110625238036072,0.0,0.0,0.0,0.0,0.0,0.0
1718110625288797118,0.0,0.0,0.0,0.0,0.0,0.0
1718110625337843583,0.0,0.0,0.0,0.0,0.0,0.0
1718110625388676081,0.0,0.0,0.0,0.0,0.0,0.0
1718110625433764550,0.0,0.0,0.0,0.0,0.0,0.0
1718110625486447753,0.0,0.0,0.0,0.0,0.0,0.0
1718110625533376837,0.0,0.0,0.0,0.0,0.0,0.0
1718110625583468003,0.0,0.0,0.0,0.0,0.0,0.0
1718110625636670793,0.0,0.0,0.0,0.0,0.0,0.0
1718110625684939693,0.0,0.0,0.0,0.0,0.0,0.0
1718110625737492244,0.0,0.0,0.0,0.0,0.0,0.0
1718110625788687915,0.0,0.0,0.0,0.0,0.0,0.0
1718110625840691541,0.0,0.0,0.0,0.0,0.0,0.0
1718110625891498521,0.0,0.0,0.0,0.0,0.0,0.0
1718110625939850217,0.0,0.0,0.0,0.0,0.0,0.0
1718110625987027780,0.0,0.0,0.0,0.0,0.0,0.0
1718110626033156433,0.0,0.0,0.0,0.0,0.0,0.0
1718110626087465366,0.0,0.0,0.0,0.0,0.0,0.0
1718110626132650017,0.0,0.0,0.0,0.0,0.0,0.0
1718110626188740097,0.0,0.0,0.0,0.0,0.0,0.0
1718110626235453979,0.0,0.0,0.0,0.0,0.0,0.0
1718110626282772697,0.0,0.0,0.0,0.0,0.0,0.0
1718110626339063101,0.0,0.0,0.0,0.0,0.0,0.0
1718110626388207325,0.0,0.0,0.0,0.0,0.0,0.0
1718110626432736311,0.0,0.0,0.0,0.0,0.0,0.0
1718110626487552481,0.0,0.0,0.0,0.0,0.0,0.0
1718110626535058229,0.0,0.0,0.0,0.0,0.0,0.0
1718110626586826655,0.0,0.0,0.0,0.0,0.0,0.0
1718110626632707199,0.0,0.0,0.0,0.0,0.0,0.0
1718110626683032496,0.0,0.0,0.0,0.0,0.0,0.0
1718110626737390022,0.0,0.0,0.0,0.0,0.0,0.0
1718110626787121180,0.0,0.0,0.0,0.0,0.0,0.0
1718110626835381757,0.0,0.0,0.0,0.0,0.0,0.0
1718110626885533137,0.0,0.0,0.0,0.0,0.0,0.0
1718110626937232016,0.0,0.0,0.0,0.0,0.0,0.0
1718110626989896481,0.0,0.0,0.0,0.0,0.0,0.0
1718110627040105505,0.0,0.0,0.0,0.0,0.0,0.0
1718110627086250573,0.0,0.0,0.0,0.0,0.0,0.0
