time,/actor2/velocity_data,/actor2/acceleration_data,/actor2/imu_data
1720981957.878043,1.4556339969792114,-0.8508503781116872,-0.0006000000000000001
1720981957.9779484,1.3234244037534126,-1.3220959322579873,-0.0002
1720981958.0784926,1.359010931778097,0.35586528024684316,-0.0022
1720981958.1782644,1.4198578660201482,0.6084693424205123,-0.0018000000000000002
1720981958.278482,1.426004827872052,0.06146961851903887,-0.0014
1720981958.3781974,1.3381763788108765,-0.878284490611756,-0.0012000000000000001
1720981958.4783971,1.3009405971977042,-0.37235781613172314,-0.0018000000000000002
1720981958.5785043,1.262366132310832,-0.3857446488687222,-0.0004
1720981958.6783404,1.2032497167686087,-0.5911641554222324,-0.0012000000000000001
1720981958.7783105,1.184160907442889,-0.1908880932571977,-0.0006000000000000001
1720981958.8785222,1.2157302796778224,0.315693722349335,-0.0018000000000000002
1720981958.9784606,1.2403977489857292,0.24667469307906753,-0.0012000000000000001
1720981959.0784853,1.2648585466433255,0.24460797657596345,-0.0022
1720981959.1783733,1.2678969304768035,0.030383838334779867,-0.002
1720981959.2781816,1.3172347032222198,0.49337772745416286,-0.0018000000000000002
1720981959.378095,1.3800898009551832,0.6285509773296338,-0.0026000000000000003
1720981959.4780755,1.3784504348427675,-0.016393661124156633,-0.001
1720981959.5780554,1.3431964207380882,-0.3525401410467932,-0.0026000000000000003
1720981959.6780093,1.4506480279317895,1.0745160719370128,-0.0022
1720981959.7783427,1.5157293109176408,0.6508128298585136,-0.0018000000000000002
1720981959.878075,1.4602928839298979,-0.5543642698774298,-0.0022
1720981959.9781468,1.379397566521452,-0.8089531740844591,-0.0012000000000000001
1720981960.0780396,1.4570085202393475,0.776109537178955,-0.0012000000000000001
1720981960.177962,1.4710611998211656,0.14052679581818106,-0.0012000000000000001
1720981960.27794,1.4706137792482825,-0.004474205728830505,-0.002
1720981960.377916,1.4754833534905083,0.048695742422257826,-0.0018000000000000002
1720981960.478124,1.436817455257016,-0.386658982334922,-0.002
1720981960.5779538,1.4315677833430323,-0.052496719139838444,-0.0012000000000000001
1720981960.6780128,1.3791593516269647,-0.5240843171606757,-0.002
1720981960.778012,1.3604754573378022,-0.18683894289162506,-0.002
1720981960.8780286,1.3703630765769514,0.0988761923914927,-0.002
1720981960.9780276,1.3831282568444492,0.12765180267497733,-0.0014
1720981961.0781722,1.3746770270262314,-0.08451229818217776,-0.002
1720981961.1776316,1.3403676844138772,-0.3430934261235419,-0.0012000000000000001
1720981961.2784941,1.3618255150193237,0.21457830605446482,-0.0012000000000000001
