time,/actor1/acceleration_data,/actor1/velocity_data
1721061849,0.07133502422,2.30109886
1721061849,-1.987190685,2.102379792
1721061849,-0.5555679012,2.046823001
1721061849,1.465987692,2.193421771
1721061849,0.2442583364,2.217847604
1721061849,0.3797821295,2.255825817
1721061849,-0.6531410667,2.190511711
1721061850,0.3839703778,2.228908748
1721061850,-0.01110715677,2.227798033
1721061850,0.4464881114,2.272446844
1721061850,0.06243684294,2.278690528
1721061850,-0.2927766921,2.249412859
1721061850,-0.0519168537,2.244221174
1721061850,0.1010124064,2.254322414
1721061850,0.6826801195,2.322590426
1721061850,-0.3369172099,2.288898705
1721061850,-0.321795872,2.256719118
1721061851,0.4906988897,2.305789007
1721061851,0.9821181586,2.404000823
1721061851,0.7443064423,2.478431467
1721061851,-0.04905877153,2.47352559
1721061851,-0.801269344,2.393398655
1721061851,1.018824014,2.495281057
1721061851,2.063621786,2.701643235
1721061851,-0.4463642294,2.657006812
1721061851,-1.854808227,2.47152599
1721061851,-0.8849152956,2.38303446
1721061852,0.2330598452,2.406340445
1721061852,1.674958343,2.573836279
1721061852,0.2246302647,2.596299305
1721061852,-0.9479628277,2.501503023
1721061852,0.5189937394,2.553402397
1721061852,1.153170326,2.668719429
1721061852,1.357071305,2.80442656
1721061852,0.301157929,2.834542353
1721061852,-1.476816648,2.686860688
1721061852,0.1515086625,2.702011554
1721061853,0.5665037944,2.758661934
1721061853,0.3975749655,2.79841943
1721061853,-0.5591789794,2.742501532
1721061853,-0.1922231355,2.723279219
1721061853,0.03015385644,2.726294604
1721061853,2.422166634,2.968511268
1721061853,-1.189505195,2.849560748
1721061853,-1.749994724,2.674561276
1721061853,-1.175243071,2.557036969
1721061853,1.355989973,2.692635966
1721061854,0.8777300328,2.780408969
1721061854,-0.5062497638,2.729783993
1721061854,0.0373510236,2.733519095
1721061854,0.08716340679,2.742235436
1721061854,0.6620821511,2.808443651
1721061854,0.005223685495,2.80896602
1721061854,-1.435919571,2.665374063
1721061854,-0.2305801799,2.642316045
1721061854,-0.7061406646,2.571701978
1721061854,-0.8058192904,2.491120049
1721061855,1.285125992,2.619632648
1721061855,-0.3138869271,2.588243955
1721061855,-0.5677616206,2.531467793
1721061855,0.01091938948,2.532559732
1721061855,-0.7427992888,2.458279804
1721061855,-0.7282963858,2.385450165
1721061855,-0.3894204479,2.34650812
1721061855,0.3705891475,2.383567035
1721061855,0.4803954906,2.431606584
1721061855,0.2451662702,2.456123211
1721061856,-0.7904647737,2.377076734
1721061856,0.7014835586,2.447225089
1721061856,2.136465103,2.6608716
1721061856,-0.5154310822,2.609328491
1721061856,-0.6513828321,2.544190208
1721061856,-1.84549052,2.359641156
1721061856,0.2324275567,2.382883912
1721061856,1.617786428,2.544662555
1721061856,0.6196033511,2.60662289
1721061856,-1.275484888,2.479074401
1721061857,-0.9107050987,2.388003891
1721061857,0.9953915559,2.487543047
1721061857,0.9986154003,2.587404587
1721061857,0.7869284022,2.666097427
1721061857,-0.8490862287,2.581188804
1721061857,-0.7256382798,2.508624976
1721061857,0.1928523061,2.527910207
1721061857,-0.8118993614,2.446720271
1721061857,0.2732290691,2.474043178
1721061857,-1.325508503,2.341492327
1721061858,-0.7809730164,2.263395026
1721061858,-1.165298735,2.146865152
1721061858,0.5828136234,2.205146514
1721061858,0.4621908451,2.251365599
1721061858,0.2707526482,2.278440864
1721061858,0.5348643792,2.331927302
1721061858,0.6885401124,2.400781313
1721061858,-1.683600295,2.232421283
1721061858,-0.3305317891,2.199368104
1721061858,0.8706100463,2.286429109
1721061859,0.6009098376,2.346520093
1721061859,0.346192342,2.381139327
1721061859,-0.9924121099,2.281898116
1721061859,-1.907677513,2.091130365
1721061859,-1.115583156,1.979572049
1721061859,0.1598841494,1.995560464
1721061859,0.6005203173,2.055612496
1721061859,-0.3246774928,2.023144747
1721061859,-1.332895111,1.889855235
1721061859,-2.114879483,1.678367287
1721061860,-0.4455927295,1.633808014
1721061860,0.009476166136,1.634755631
1721061860,0.7106617991,1.705821811
1721061860,-0.7735170141,1.628470109
1721061860,-0.06400789642,1.62206932
1721061860,-1.160730408,1.505996279
1721061860,-0.06652992622,1.499343286
1721061860,0.7598951871,1.575332805
1721061860,1.881433742,1.763476179
1721061860,-0.4393729854,1.719538881
1721061861,0.6352302032,1.783061901
1721061861,0.5112443018,1.834186331
1721061861,1.576094223,1.991795753
1721061861,0.2611709596,2.017912849
1721061861,0.9822384812,2.116136697
1721061861,0.2731753374,2.143454231
1721061861,0.4193262381,2.185386855
1721061861,-0.530946426,2.132292212
1721061861,-0.2659573563,2.105696477
1721061861,0.5595771467,2.161654191
1721061862,-0.8749747775,2.074156714
1721061862,0.3592901897,2.110085733
1721061862,-1.100446139,2.000041119
1721061862,0.5024693105,2.05028805
1721061862,0.6021440365,2.110502454
1721061862,0.3113815401,2.141640608
1721061862,0.3523883094,2.176879438
1721061862,-0.5021715657,2.126662282
1721061862,-0.0406178789,2.122600494
1721061862,-0.1357238551,2.109028108
1721061863,0.8863740467,2.197665513
1721061863,1.758954696,2.373560983
1721061863,-0.914185094,2.282142473
1721061863,-1.862656195,2.095876854
1721061863,-0.3190257793,2.063974276
1721061863,1.783254882,2.242299764
1721061863,1.591202762,2.40142004
1721061863,-0.5774830173,2.343671739
1721061863,-0.9708796925,2.246583769
1721061863,-0.2574384303,2.220839926
